Date,Boxscore_URL,Score,Outs,Base State,Pitches,Sequence,Out,Team,Batter,Pitcher,Win Expectancy,Leverage Index,Event,Unnamed: 14,Inning,Event Type
Monday May 4,https://www.baseball-reference.com/boxes/BAL/BAL199205040.shtml,3-Mar,0.0,---,"""5","(2-2)BBFFS""",O,BAL,Brady Anderson,TerryÂ Mathews,-4%,55%,Strikeout Swinging,,,
Tuesday May 5,https://www.baseball-reference.com/boxes/BAL/BAL199205050.shtml,4-Mar,0.0,---,"""5","(2-2)BBCCX""",O,BAL,Brady Anderson,JeffÂ Robinson,5%,69%,Flyball: RF (Deep RF),,,
Wednesday May 6,https://www.baseball-reference.com/boxes/BAL/BAL199205060.shtml,Jun-00,0.0,---,"""2","(0-1)FX""",O,BAL,Cal Ripken Jr,MarkÂ Guthrie,0%,99%,Popfly: 2B (Deep 2B),,,
Thursday May 7,https://www.baseball-reference.com/boxes/BAL/BAL199205070.shtml,4-Jan,0.0,---,"""5","(2-2)BBCFX""",O,BAL,David Segui,BillÂ Krueger,-3%,9%,Flyball: RF (Short CF-RF),,,
Friday May 8,https://www.baseball-reference.com/boxes/BAL/BAL199205080.shtml,3-Mar,0.0,---,"""4","(2-1)CBBX""",O,BAL,Mark Mclemore,GregÂ Hibbard,4%,45%,Groundout: SS-1B,,,
Saturday May 9,https://www.baseball-reference.com/boxes/BAL/BAL199205090.shtml,2-Apr,0.0,---,"""7","(3-2)FCFBBBX""",,BAL,Mark Mclemore,AlexÂ Fernandez,1%,91%,Single to CF (Line Drive),,,
Sunday May 10,https://www.baseball-reference.com/boxes/BAL/BAL199205100.shtml,0-5,0.0,---,"""4","(1-2)BCSX""",O,BAL,Cal Ripken Jr,JackÂ McDowell,1%,98%,Flyball: CF,,,
Monday May 18,https://www.baseball-reference.com/boxes/BAL/BAL199205180.shtml,8-Mar,0.0,---,"""4","(1-2)BSFX""",O,BAL,Cal Ripken Jr,MikeÂ Moore,1%,98%,Groundout: SS-1B,,,
Tuesday May 19,https://www.baseball-reference.com/boxes/BAL/BAL199205190.shtml,4-Feb,0.0,---,"""4","(1-2).SSBX""",O,BAL,Brady Anderson,RickÂ Honeycutt,4%,83%,Popfly: 3B,,,
Wednesday May 20,https://www.baseball-reference.com/boxes/BAL/BAL199205200.shtml,4-Feb,0.0,---,"""2","(1-0)BX""",O,BAL,Mike Devereaux,BobÂ Welch,4%,83%,Groundout: SS-1B,,,
Friday May 22,https://www.baseball-reference.com/boxes/BAL/BAL199205220.shtml,1-Apr,0.0,---,"""3","(2-0)BBX""",O,BAL,Brady Anderson,ScottÂ Bailes,-1%,94%,Groundout: 2B-1B (2B-1B),,,
Saturday May 23,https://www.baseball-reference.com/boxes/BAL/BAL199205230.shtml,6-Jan,0.0,---,"""4","(1-2)BCCS""",O,BAL,David Segui,MarkÂ Langston,1%,98%,Strikeout Swinging,,,
Sunday May 24,https://www.baseball-reference.com/boxes/BAL/BAL199205240.shtml,4-May,0.0,---,"""3","(2-0).BBX""",O,BAL,Cal Ripken Jr,BertÂ Blyleven,-2%,78%,Lineout: LF (Deep LF),,,
Friday Jun 5,https://www.baseball-reference.com/boxes/BAL/BAL199206050.shtml,0-0,0.0,---,"""5","(2-2)CBCBX""",O,BAL,Randy Milligan,JimmyÂ Key,-4%,55%,Flyball: RF (Deep CF-RF),,,
Saturday Jun 6,https://www.baseball-reference.com/boxes/BAL/BAL199206060.shtml,4-Mar,0.0,---,"""2","(1-0).BX""",,BAL,Brady Anderson,DuaneÂ Ward,-8%,57%,Single (Line Drive to 2B-1B),,,
Sunday Jun 7,https://www.baseball-reference.com/boxes/BAL/BAL199206070.shtml,1-Jul,0.0,---,"""5","(1-2)..CFBFX""",O,BAL,Randy Milligan,BobÂ MacDonald,0%,99%,Groundout: SS-1B,,,
Monday Jun 8,https://www.baseball-reference.com/boxes/BAL/BAL199206080.shtml,2-May,0.0,---,"""8","(3-2)CSBBBFFB""",,BAL,Brady Anderson,MattÂ Young,1%,95%,Walk,,,
Tuesday Jun 9,https://www.baseball-reference.com/boxes/BAL/BAL199206090.shtml,0-0,0.0,---,"""5","(1-2)FCFBX""",O,BAL,Sam Horn,JohnÂ Dopson,4%,45%,Groundout: 2B-1B (2B-1B),,,
Wednesday Jun 10,https://www.baseball-reference.com/boxes/BAL/BAL199206100.shtml,1-Feb,0.0,---,"""2","(1-0)BX""",,BAL,Joe Orsulak,DannyÂ Darwin,3%,82%,Single to LF (Ground Ball thru Deep SS-3B Hole),,,
Friday Jun 19,https://www.baseball-reference.com/boxes/BAL/BAL199206190.shtml,7-Oct,0.0,---,"""1","(0-0)X""",O,BAL,Billy Ripken,ShawnÂ Hillegas,-1%,94%,Flyball: RF,,,
Saturday Jun 20,https://www.baseball-reference.com/boxes/BAL/BAL199206200.shtml,7-Feb,0.0,---,"""6","(3-2)CBSBBC""",O,BAL,Tim Hulett,RichÂ Monteleone,1%,98%,Strikeout Looking,,,
Sunday Jun 21,https://www.baseball-reference.com/boxes/BAL/BAL199206210.shtml,3-Feb,0.0,---,"""3","(1-1)BCX""",,BAL,Tim Hulett,TimÂ Leary,-8%,57%,Single to CF (Ground Ball thru Deep SS-2B),,,
Monday Jun 22,https://www.baseball-reference.com/boxes/BAL/BAL199206220.shtml,1-Apr,0.0,---,"""1","(0-0)X""",O,BAL,Jeff Tackett,ScottÂ Kamieniecki,-1%,94%,Lineout: CF,,,
Friday Jun 26,https://www.baseball-reference.com/boxes/BAL/BAL199206260.shtml,4-Jun,0.0,---,"""2","(0-1).CX""",,BAL,Cal Ripken Jr,MikeÂ Boddicker,3%,92%,Double to 1B (Line Drive to Deep 1B),,,
Saturday Jun 27,https://www.baseball-reference.com/boxes/BAL/BAL199206270.shtml,0-2,0.0,---,"""5","(2-2)CCBBX""",O,BAL,Randy Milligan,KevinÂ Appier,4%,83%,Groundout: SS-1B,,,
Sunday Jun 28,https://www.baseball-reference.com/boxes/BAL/BAL199206280.shtml,5-Feb,0.0,---,"""3","(1-1).CBX""",O,BAL,Mike Devereaux,MikeÂ Boddicker,3%,91%,Groundout: SS-1B,,,
Monday Jun 29,https://www.baseball-reference.com/boxes/BAL/BAL199206290.shtml,4-Mar,0.0,---,"""2","(0-1)CX""",O,BAL,Brady Anderson,JimÂ Austin,5%,69%,Popfly: SS (Deep SS),,,
Tuesday Jun 30,https://www.baseball-reference.com/boxes/BAL/BAL199206300.shtml,2-Nov,0.0,---,"""2","(1-0).BX""",,BAL,Brady Anderson,JesseÂ Orosco,0%,100%,Single to LF (Fly Ball to Short LF),,,
Wednesday Jul 1,https://www.baseball-reference.com/boxes/BAL/BAL199207010.shtml,4-Jul,0.0,---,"""3","(1-1).BFX""",O,BAL,Cal Ripken Jr,JesseÂ Orosco,-1%,94%,Groundout: 2B-1B (SS-2B),,,
Monday Jul 6,https://www.baseball-reference.com/boxes/BAL/BAL199207060.shtml,3-Mar,0.0,---,"""5","(1-2)BFFFX""",O,BAL,Cal Ripken Jr,DonnÂ Pall,-4%,55%,Groundout: SS-1B,,,
Tuesday Jul 7,https://www.baseball-reference.com/boxes/BAL/BAL199207070.shtml,7-Apr,0.0,---,"""1","(0-0)X""",,BAL,Glenn Davis,BrianÂ Drahman,-5%,83%,Single to C (Bunt),,,
Wednesday Jul 8,https://www.baseball-reference.com/boxes/BAL/BAL199207080.shtml,3-Mar,0.0,---,"""5","(1-2)CBFFS""",O,BAL,Mike Devereaux,CharlieÂ Hough,-4%,55%,Strikeout Swinging,,,
Thursday Jul 9,https://www.baseball-reference.com/boxes/BAL/BAL199207090.shtml,Apr-00,0.0,---,"""2","(1-0)BX""",O,BAL,Cal Ripken Jr,BobÂ Kipper,0%,97%,Popfly: 2B (Deep 2B-1B),,,
Friday Jul 10,https://www.baseball-reference.com/boxes/BAL/BAL199207100.shtml,4-Feb,0.0,---,"""3","(1-1)SBX""",O,BAL,Leo Gómez,KevinÂ Tapani,4%,83%,Flyball: CF,,,
Saturday Jul 11,https://www.baseball-reference.com/boxes/BAL/BAL199207110.shtml,0-6,0.0,---,"""5","(3-1).BCBBB""",,BAL,Randy Milligan,BillÂ Krueger,-1%,97%,Walk,,,
Sunday Jul 12,https://www.baseball-reference.com/boxes/BAL/BAL199207120.shtml,8-Apr,0.0,---,"""6","(3-2).BCCBBX""",O,BAL,Leo Gómez,TomÂ Edens,2%,95%,Groundout: SS-1B,,,
Thursday Jul 23,https://www.baseball-reference.com/boxes/BAL/BAL199207230.shtml,4-Feb,0.0,---,"""4","(1-2)BFCX""",O,BAL,Jeff Tackett,EdÂ NÃºÃ±ez,4%,83%,Groundout: P-1B,,,
Friday Jul 24,https://www.baseball-reference.com/boxes/BAL/BAL199207240.shtml,2-Jun,0.0,---,"""1","(0-0).X""",,BAL,Joe Orsulak,FloydÂ Bannister,0%,98%,Single (Line Drive to 2B-1B),,,
Saturday Jul 25,https://www.baseball-reference.com/boxes/BAL/BAL199207250.shtml,8-Apr,0.0,---,"""7","(3-2)..BFSFBBB""",,BAL,Mike Devereaux,TerryÂ Mathews,-3%,90%,Walk,,,
Sunday Jul 26,https://www.baseball-reference.com/boxes/BAL/BAL199207260.shtml,3-Feb,0.0,---,"""7","(3-2)BCFFBBX""",O,BAL,Leo Gómez,NolanÂ Ryan,5%,69%,Foul Popfly: 1B (1B-C into Foul Terr.),,,
Monday Aug 3,https://www.baseball-reference.com/boxes/BAL/BAL199208030.shtml,3-Jun,0.0,---,"""6","(3-2)CBCBBX""",O,BAL,Glenn Davis,JohnÂ Kiely,-1%,94%,Groundout: 3B-1B (SS-3B Hole),,,
Tuesday Aug 4,https://www.baseball-reference.com/boxes/BAL/BAL199208040.shtml,2-May,0.0,---,"""6","(2-2)BFBCFX""",,BAL,Cal Ripken Jr,WaltÂ Terrell,1%,95%,Single to LF (Ground Ball thru Deep SS-3B Hole),,,
Wednesday Aug 5,https://www.baseball-reference.com/boxes/BAL/BAL199208050.shtml,0-0,0.0,---,"""7","(3-2).BBBCCFB""",,BAL,Randy Milligan,JohnÂ Kiely,6%,64%,Walk,,,
Friday Aug 7,https://www.baseball-reference.com/boxes/BAL/BAL199208070.shtml,3-Apr,0.0,---,"""7","(3-2)BBBCSFB""",,BAL,Mike Devereaux,TedÂ Power,-3%,18%,Walk,,,
Saturday Aug 8,https://www.baseball-reference.com/boxes/BAL/BAL199208080.shtml,0-6,0.0,---,"""2","(0-1)FX""",O,BAL,Cal Ripken Jr,CharlesÂ Nagy,1%,99%,Groundout: 3B-1B (SS-3B Hole),,,
Sunday Aug 9,https://www.baseball-reference.com/boxes/BAL/BAL199208090.shtml,2-Feb,0.0,---,"""5","(2-2)BBCFX""",O,BAL,Tim Hulett,RodÂ Nichols,-4%,55%,Lineout: 2B (SS-2B),,,
Tuesday Aug 18,https://www.baseball-reference.com/boxes/BAL/BAL199208180.shtml,3-Jan,0.0,---,"""6","(2-2).FBFBFX""",O,BAL,Leo Gómez,DaveÂ Fleming,4%,83%,Flyball: CF,,,
Wednesday Aug 19,https://www.baseball-reference.com/boxes/BAL/BAL199208190.shtml,10-Jun,0.0,---,"""4","(2-1)CBBX""",O,BAL,Glenn Davis,CalvinÂ Jones,2%,95%,Flyball: LF (Deep LF),,,
Thursday Aug 20,https://www.baseball-reference.com/boxes/BAL/BAL199208200.shtml,0-1,0.0,---,"""2","(0-1)FX""",O,BAL,Cal Ripken Jr,BrianÂ Fisher,-5%,31%,Flyball: CF (Deep LF-CF),,,
Friday Aug 21,https://www.baseball-reference.com/boxes/BAL/BAL199208210.shtml,2-Mar,0.0,---,"""6","(3-2)BBCFBX""",R,BAL,Brady Anderson,JimÂ Corsi,10%,89%,Home Run (Fly Ball to Deep RF Line); B.Â Anderson Scores,,,
Saturday Aug 22,https://www.baseball-reference.com/boxes/BAL/BAL199208220.shtml,5-Mar,0.0,---,"""3","(0-2)CSX""",O,BAL,Brady Anderson,JeffÂ Parrett,4%,83%,Groundout: 2B-1B (2B-1B),,,
Sunday Aug 23,https://www.baseball-reference.com/boxes/BAL/BAL199208230.shtml,6-Jan,0.0,---,"""2","(1-0)BX""",O,BAL,Chito Martínez,MikeÂ Moore,1%,98%,Flyball: CF,,,
Monday Aug 24,https://www.baseball-reference.com/boxes/BAL/BAL199208240.shtml,5-Jan,0.0,---,"""4","(2-1)CBBX""",O,BAL,Billy Ripken,JimÂ Abbott,2%,95%,Lineout: SS,,,
Tuesday Aug 25,https://www.baseball-reference.com/boxes/BAL/BAL199208250.shtml,Apr-00,0.0,---,"""5","(3-1)BBBCB""",,BAL,Brady Anderson,ScottÂ Lewis,0%,98%,Walk,,,
Wednesday Aug 26,https://www.baseball-reference.com/boxes/BAL/BAL199208260.shtml,4-Feb,0.0,---,"""3","(1-1)CBX""",R,BAL,Chris Hoiles,ChuckÂ Crim,14%,35%,Home Run (Fly Ball to Deep LF-CF); C.Â Hoiles Scores,,,
Monday Sep 7,https://www.baseball-reference.com/boxes/BAL/BAL199209070.shtml,2-Jan,0.0,---,"""1","(0-0)X""",O,BAL,Mike Devereaux,MelidoÂ Perez,5%,69%,Groundout: 2B-1B,,,
Tuesday Sep 8,https://www.baseball-reference.com/boxes/BAL/BAL199209080.shtml,11-Mar,0.0,---,"""2","(1-0).BX""",O,BAL,Leo Gómez,ScottÂ Sanderson,0%,100%,Flyball: LF (Deep LF Line),,,
Wednesday Sep 9,https://www.baseball-reference.com/boxes/BAL/BAL199209090.shtml,3-Feb,0.0,---,"""5","(2-2)CFBBX""",,BAL,Mark Mclemore,BobÂ Wickman,-8%,57%,Single to RF (Ground Ball thru Deep 2B-1B),,,
Friday Sep 11,https://www.baseball-reference.com/boxes/BAL/BAL199209110.shtml,2-Mar,0.0,---,"""5","(2-2)CSBBC""",O,BAL,Billy Ripken,BillÂ Wegman,-2%,78%,Strikeout Looking,,,
Saturday Sep 12,https://www.baseball-reference.com/boxes/BAL/BAL199209120.shtml,0-5,0.0,---,"""4","(2-1).BBCX""",O,BAL,Cal Ripken Jr,JaimeÂ Navarro,1%,98%,Flyball: RF (Deep CF-RF),,,
Sunday Sep 13,https://www.baseball-reference.com/boxes/BAL/BAL199209130.shtml,0-2,0.0,---,"""1","(0-0)X""",O,BAL,Mike Devereaux,CalÂ Eldred,4%,83%,Groundout: P-1B,,,
Monday Sep 14,https://www.baseball-reference.com/boxes/BAL/BAL199209140.shtml,Feb-00,0.0,---,"""5","(3-1).BFBBB""",,BAL,Chris Hoiles,TomÂ Gordon,1%,91%,Walk,,,
Tuesday Sep 15,https://www.baseball-reference.com/boxes/BAL/BAL199209150.shtml,Jan-00,0.0,---,"""6","(3-2).SBBFBX""",,BAL,Randy Milligan,RustyÂ Meacham,3%,82%,Reached on E5 (throw) (Ground Ball to SS-3B Hole); R.Â Milligan to 1B,,,
Wednesday Sep 16,https://www.baseball-reference.com/boxes/BAL/BAL199209160.shtml,Feb-00,0.0,---,"""1","(0-0)X""",,BAL,Billy Ripken,TomÂ Gordon,1%,91%,Single to LF (Ground Ball thru Deep SS-3B Hole),,,
Tuesday Sep 22,https://www.baseball-reference.com/boxes/BAL/BAL199209220.shtml,4-Jan,0.0,---,"""4","(1-2)CBSX""",,BAL,Glenn Davis,ToddÂ Stottlemyre,-7%,81%,Double to LF (Fly Ball to Deep LF),,,
Wednesday Sep 23,https://www.baseball-reference.com/boxes/BAL/BAL199209230.shtml,1-Apr,0.0,---,"""4","(1-2)CBFS""",O,BAL,Brady Anderson,JackÂ Morris,-1%,94%,Strikeout Swinging (C-1B),,,
Thursday Sep 24,https://www.baseball-reference.com/boxes/BAL/BAL199209240.shtml,8-Feb,0.0,---,"""1","(0-0).X""",O,BAL,Billy Ripken,MarkÂ Eichhorn,1%,99%,Groundout: 3B-1B (Weak 3B),,,
Saturday Sep 26 (1),https://www.baseball-reference.com/boxes/BAL/BAL199209261.shtml,2-Mar,0.0,---,"""7","(3-2)BBBCCFX""",O,BAL,Chris Hoiles,FrankÂ Viola,2%,22%,Flyball: CF,,,
Saturday Sep 26 (2),https://www.baseball-reference.com/boxes/BAL/BAL199209262.shtml,Jan-00,0.0,---,"""4","(2-1)CBBX""",,BAL,Chito Martínez,JohnÂ Dopson,5%,85%,Double to 3B (Pop Fly to Deep 3B),,,
Sunday Sep 27,https://www.baseball-reference.com/boxes/BAL/BAL199209270.shtml,6-Jan,0.0,---,"""2","(1-0)BX""",O,BAL,Cal Ripken Jr,JoeÂ Hesketh,1%,98%,Lineout: 3B,,,
Monday Sep 28,https://www.baseball-reference.com/boxes/BAL/BAL199209280.shtml,3-Mar,0.0,---,"""6","(2-2)..CFFBBX""",O,BAL,Mike Devereaux,DarylÂ Irvine,-4%,55%,Groundout: SS-1B,,,
Monday Apr 5,https://www.baseball-reference.com/boxes/BAL/BAL199304050.shtml,6-Apr,0.0,---,"""6","(2-2)..BFCBFT""",O,BAL,Chito Martínez,ToddÂ Burns,4%,81%,Strikeout Swinging,,,
Wednesday Apr 7,https://www.baseball-reference.com/boxes/BAL/BAL199304070.shtml,0-1,0.0,---,"""10","(3-2)CCBFBFBFFX""",O,BAL,Luis Mercedes,CharlieÂ Leibrandt,5%,67%,Groundout: 3B-1B,,,
Friday Apr 16,https://www.baseball-reference.com/boxes/BAL/BAL199304160.shtml,1-Mar,0.0,---,"""1","(0-0).X""",O,BAL,Harold Reynolds,KenÂ Patterson,-1%,87%,Foul Popfly: 2B (1B into Foul Terr.),,,
Saturday Apr 17,https://www.baseball-reference.com/boxes/BAL/BAL199304170.shtml,5-May,0.0,---,"""5","(2-2).BBFFX""",O,BAL,Mike Devereaux,JoeÂ Grahe,4%,45%,Groundout: SS-1B,,,
Sunday Apr 18,https://www.baseball-reference.com/boxes/BAL/BAL199304180.shtml,3-Feb,0.0,---,"""2","(0-1).CX""",O,BAL,Cal Ripken Jr,JulioÂ Valera,-5%,33%,Groundout: 3B-1B,,,
Tuesday Apr 20,https://www.baseball-reference.com/boxes/BAL/BAL199304200.shtml,1-Jan,0.0,---,"""4","(3-0)BBBB""",,BAL,Leo Gómez,WilsonÂ Ãlvarez,-6%,35%,Walk,,,
Thursday Apr 22,https://www.baseball-reference.com/boxes/BAL/BAL199304220.shtml,Feb-00,0.0,---,"""4","(1-2)BFFX""",,BAL,Tim Hulett,JackÂ McDowell,-2%,10%,Single to CF (Ground Ball thru SS-2B),,,
Wednesday Apr 28,https://www.baseball-reference.com/boxes/BAL/BAL199304280.shtml,4-Aug,0.0,---,"""4","(1-2)CFBX""",O,BAL,Cal Ripken Jr,MikeÂ Trombley,0%,96%,Groundout: 3B-1B (SS-3B Hole),,,
Thursday Apr 29,https://www.baseball-reference.com/boxes/BAL/BAL199304290.shtml,Jun-00,0.0,---,"""2","(0-1)..CH""",,BAL,Sherman Obando,BrettÂ Merriman,0%,99%,Hit By Pitch,,,
Friday Apr 30,https://www.baseball-reference.com/boxes/BAL/BAL199304300.shtml,4-Jun,0.0,---,"""2","(1-0)BX""",O,BAL,Mike Devereaux,TomÂ Gordon,-1%,87%,Groundout: SS-1B,,,
Saturday May 1,https://www.baseball-reference.com/boxes/BAL/BAL199305010.shtml,3-Mar,0.0,---,"""2","(1-0)BX""",O,BAL,Jeff Tackett,MarkÂ Gubicza,4%,45%,Groundout: 2B-1B,,,
Sunday May 2,https://www.baseball-reference.com/boxes/BAL/BAL199305020.shtml,3-Mar,0.0,---,"""6","(3-2).BFBBCB""",,BAL,Harold Reynolds,TomÂ Gordon,6%,65%,Walk,,,
Monday May 10,https://www.baseball-reference.com/boxes/BAL/BAL199305100.shtml,0-1,0.0,---,"""3","(1-1)FBX""",R,BAL,Leo Gómez,JohnÂ Dopson,22%,59%,Home Run (Fly Ball to Deep LF),,,
Tuesday May 11,https://www.baseball-reference.com/boxes/BAL/BAL199305110.shtml,0-4,0.0,---,"""4","(3-0)BBBB""",,BAL,Cal Ripken Jr,RogerÂ Clemens,-3%,89%,Walk,,,
Wednesday May 12,https://www.baseball-reference.com/boxes/BAL/BAL199305120.shtml,0-2,0.0,---,"""3","(1-1)CBX""",O,BAL,Brady Anderson,DannyÂ Darwin,4%,81%,Groundout: 2B-1B,,,
Monday May 17,https://www.baseball-reference.com/boxes/BAL/BAL199305170.shtml,0-2,0.0,---,"""4","(1-2)BCSS""",O,BAL,Mark Mclemore,JosÃ©Â Mesa,4%,81%,Strikeout Swinging,,,
Tuesday May 18,https://www.baseball-reference.com/boxes/BAL/BAL199305180.shtml,Mar-00,0.0,---,"""4","(2-1)BBCX""",,BAL,Damon Buford,MattÂ Young,1%,95%,Single to SS (Ground Ball to SS-3B Hole),,,
Wednesday May 19,https://www.baseball-reference.com/boxes/BAL/BAL199305190.shtml,May-00,0.0,---,"""2","(1-0)BX""",O,BAL,Harold Reynolds,MarkÂ Clark,0%,98%,Groundout: 1B unassisted,,,
Thursday May 20,https://www.baseball-reference.com/boxes/BAL/BAL199305200.shtml,2-Jan,0.0,---,"""2","(0-1)FX""",O,BAL,Sherman Obando,TomÂ Kramer,5%,67%,Groundout: 3B-1B,,,
Friday May 21,https://www.baseball-reference.com/boxes/BAL/BAL199305210.shtml,8-Mar,0.0,---,"""3","(0-2)..FFC""",O,BAL,Chris Hoiles,JaimeÂ Navarro,1%,97%,Strikeout Looking,,,
Saturday May 22,https://www.baseball-reference.com/boxes/BAL/BAL199305220.shtml,4-Apr,0.0,---,"""4","(3-0)..BBBB""",,BAL,Cal Ripken Jr,JimÂ Austin,6%,65%,Walk,,,
Sunday May 23,https://www.baseball-reference.com/boxes/BAL/BAL199305230.shtml,5-Jan,0.0,---,"""5","(1-2)BSFFS""",O,BAL,Glenn Davis,CalÂ Eldred,2%,94%,Strikeout Swinging,,,
Friday Jun 4,https://www.baseball-reference.com/boxes/BAL/BAL199306040.shtml,4-Jan,0.0,---,"""3","(2-0)..BBX""",O,BAL,David Segui,RandyÂ Johnson,-3%,11%,Groundout: 2B-1B,,,
Saturday Jun 5,https://www.baseball-reference.com/boxes/BAL/BAL199306050.shtml,0-2,0.0,---,"""5","(1-2)CCFBX""",,BAL,Mike Devereaux,ErikÂ Hanson,10%,33%,Double to CF (Fly Ball),,,
Sunday Jun 6,https://www.baseball-reference.com/boxes/BAL/BAL199306060.shtml,1-May,0.0,---,"""7","(3-2)...BSTBBFS""",O,BAL,Cal Ripken Jr,DwayneÂ Henry,0%,96%,Strikeout Swinging,,,
Monday Jun 7,https://www.baseball-reference.com/boxes/BAL/BAL199306070.shtml,1-Feb,0.0,---,"""4","(2-1)FBBX""",,BAL,Harold Reynolds,BobbyÂ Witt,3%,81%,Single to LF (Line Drive to Short LF-CF),,,
Tuesday Jun 8,https://www.baseball-reference.com/boxes/BAL/BAL199306080.shtml,4-Apr,0.0,---,"""1","(0-0).X""",,BAL,Cal Ripken Jr,StormÂ Davis,6%,65%,Reached on E5 (throw) (Ground Ball to Weak 3B); C.Â Ripken to 1B,,,
Wednesday Jun 9,https://www.baseball-reference.com/boxes/BAL/BAL199306090.shtml,3-Apr,0.0,---,"""6","(1-2).CBCFFC""",O,BAL,Brady Anderson,RickÂ Honeycutt,-2%,76%,Strikeout Looking,,,
Tuesday Jun 22,https://www.baseball-reference.com/boxes/BAL/BAL199306220.shtml,7-Nov,0.0,---,"""2","(1-0).BX""",O,BAL,Harold Reynolds,BuddyÂ Groom,0%,96%,Lineout: RF,,,
Wednesday Jun 23,https://www.baseball-reference.com/boxes/BAL/BAL199306230.shtml,1-Apr,0.0,---,"""1","(0-0)X""",,BAL,David Segui,MikeÂ Moore,1%,95%,Single to RF (Line Drive to Short CF-RF),,,
Thursday Jun 24,https://www.baseball-reference.com/boxes/BAL/BAL199306240.shtml,2-Apr,0.0,---,"""5","(1-2)CBFFT""",O,BAL,Mike Devereaux,TomÂ Bolton,-1%,87%,Strikeout Swinging,,,
Friday Jun 25,https://www.baseball-reference.com/boxes/BAL/BAL199306250.shtml,6-Mar,0.0,---,"""5","(2-2).CCBBS""",O,BAL,Jack Voigt,BobbyÂ MuÃ±oz,-3%,11%,Strikeout Swinging,,,
Saturday Jun 26,https://www.baseball-reference.com/boxes/BAL/BAL199306260.shtml,8-Sep,0.0,---,"""2","(1-0)BX""",R,BAL,Chris Hoiles,NealÂ Heaton,10%,88%,Home Run (Fly Ball to Deep LF),,,
Sunday Jun 27,https://www.baseball-reference.com/boxes/BAL/BAL199306270.shtml,6-Mar,0.0,---,"""4",,O,BAL,Mark Mclemore,MelidoÂ Perez,3%,89%,Strikeout Looking,,,
Monday Jun 28,https://www.baseball-reference.com/boxes/BAL/BAL199306280.shtml,7-Feb,0.0,---,"""4","(1-2).CBFX""",O,BAL,Harold Reynolds,AlÂ Leiter,1%,97%,Popfly: SS (Deep SS),,,
Tuesday Jun 29,https://www.baseball-reference.com/boxes/BAL/BAL199306290.shtml,Jan-00,0.0,---,"""4","(1-2)CBCX""",,BAL,Harold Reynolds,PatÂ Hentgen,-5%,16%,Double to RF (Line Drive to Short RF Line),,,
Wednesday Jun 30,https://www.baseball-reference.com/boxes/BAL/BAL199306300.shtml,Mar-00,0.0,---,"""3","(1-1)BCX""",O,BAL,Mark Mclemore,WoodyÂ Williams,-1%,93%,Flyball: LF,,,
